Id_k;Nazwisko;Imie;Wzrost;Nazwa_sieci;Wiek;Symbol_woj
188;Predko;Kamil;143;Multi;26;P
189;Prokop;Jakub;182;Erka;29;Z
190;Prokopowicz;Adam;152;Multi;31;P
191;Prus;Ewelina;179;Hejka;24;Z
192;Prymak;Miros³aw;153;Erka;27;D
193;Przybytko;Pawe³;175;Hejka;27;C
194;Przytu³a;Magdalena;185;Multi;26;L
195;Puci³owski;Tomasz;190;Citrone;29;F
196;Rafa³owski;Dominik;181;Erka;31;E
197;Reduta;Agnieszka;146;Hejka;24;K
198;Romaniuk;Magdalena;148;Multi;27;W
199;Roszko;Pawe³;150;Citrone;28;O
200;Roszkowski;Pawe³;160;Multi;27;R
201;Rowiñska;Iwona;140;Multi;26;W
202;Rulow;Maria;171;Erka;29;O
203;Rutka;Edyta;163;Multi;31;R
204;Rutkowski;Karol;172;Hejka;31;T
205;Ruwnicka;Edyta;174;Erka;24;S
206;Rybicki;Marcin;185;Hejka;27;S
207;Rynkiewicz;Piotr;190;Multi;27;S
208;Rysiak;£ukasz;173;Citrone;26;P
209;Sachajko;Anna;184;Erka;29;G
210;Sacharczuk;Agnieszka;161;Hejka;31;S
211;Sarnuciñska;Marzena;162;Multi;24;P
212;Sawicki;Marcin;162;Citrone;27;P
213;Sawoñ;Anna;175;Multi;28;S
214;Sêdziak;Artur;145;Multi;27;S
215;Siemieniak;Andrzej;185;Erka;26;Z
216;Siemioñczyk;Agnieszka;186;Multi;29;W
217;Sienkiewicz;Rafa³;179;Hejka;31;W
218;Sienkiewicz;Anna;188;Erka;24;C
219;Sienkiewicz;Wojciech;152;Hejka;27;L
220;Sieñko;Kamila;177;Multi;28;F
221;Siergiej;Maria;164;Citrone;42;F
222;Skowroñska;Karolina;187;Erka;41;R
223;Skumorski;Wojciech;159;Hejka;40;W
224;S³omiñska;Agnieszka;178;Multi;39;O
225;Smorczewski;Jacek;145;Citrone;36;R
226;Socha;Piotr;147;Multi;35;T
227;Sokó³;Anna;187;Multi;42;S
228;So³owiej;Natalia;172;Erka;61;S
229;Sowa;Anna;158;Multi;28;N
230;Sp³awska;Tomasz;175;Hejka;28;N
231;Srebrna;Barbara;170;Erka;27;R
232;Stasiewicz;Adam;186;Hejka;26;T
233;Strychalski;Mariusz;186;Multi;29;C
234;Suchocka;Julita;157;Citrone;31;E
235;Sulewska;Anna;142;Erka;24;E
236;Sural;Tomasz;159;Hejka;27;F
237;Szafara;Tadeusz;154;Multi;28;G
238;Szekalski;Wojciech;160;Citrone;27;P
239;Szeszko;Gra¿yna;159;Multi;26;S
240;Szubin;Kamila;156;Multi;29;W
241;Szulimowska;Anna;140;Erka;31;D
242;Szyfman;Bartosz;159;Multi;24;W
243;Szymczukiewicz;Eliza;189;Hejka;27;D
244;Œwiêcicka;Marta;150;Erka;29;P
245;Topczewski;Piotr;189;Hejka;31;D
246;Trams;Jacek;148;Multi;24;D
247;Trombaczyk;Dorota;162;Citrone;27;D
248;Uciñska;Aleksandra;189;Erka;28;D
249;Ugolik;Katarzyna;178;Hejka;27;T
250;Wachowiec;Monika;181;Multi;26;S
251;Waliñska;Agnieszka;160;Citrone;29;S
252;Wa³kuski;Bart³omiej;184;Multi;31;N
253;Werpachowska;Barbara;180;Multi;24;N
254;Wierciñski;Marek;145;Erka;27;R
255;Wieremiejuk;Sylwia;166;Multi;26;T
256;Wierzbicka;Ewa;160;Hejka;29;C
257;Wierzchowski;Pawe³;148;Erka;31;E
258;Wilczyñska;Ewa;154;Hejka;24;E
259;Wilczyñski;Mariusz;153;Multi;27;F
260;Wincewicz;Micha³;190;Citrone;28;G
261;Wiodowski;Stanis³aw;190;Erka;27;P
262;Wiœniewska;Agnieszka;187;Hejka;26;S
263;Witczyñski;Mateusz;159;Multi;29;W
264;Wnorowska;Joanna;189;Citrone;31;D
265;Wo³oszyn;Jaros³aw;150;Multi;24;W
266;Wróblewski;Miko³aj;189;Multi;27;D
267;Wysocka;Anna;148;Erka;29;P
268;Zanecka;Ewa;162;Multi;31;P
269;Zawada;Magdalena;189;Hejka;24;P
270;Zawadzki;Mateusz;178;Erka;27;G
271;Zimnoch;Aneta;181;Hejka;28;R
272;¯akiewicz;Joanna;184;Citrone;26;K
273;¯arniewski;Maciej;177;Multi;24;P
274;¯emojda;Krystyna;161;Citrone;24;P
275;¯eszczyñska;Wanda;151;Erka;23;F
276;¯mijewski;Sebastian;160;Multi;27;R
277;¯ukowska;Gra¿yna;155;Hejka;32;E
278;¯ukowska;Aniela;152;Citrone;50;D
279;¯ukowska;Magdalena;166;Erka;44;K
280;¯ukowski;Grzegorz;177;Multi;41;O
