pesel	nazwisko	imiÍ	id_klasy	j_pol	mat	biol	inf	z_wyroznieniem	hum	mat-przyr
88071509060	CZARNOCKA	EWELINA	2	4	5	5	5	NIE	28	41
88090907526	CZARNOMSKA	MARIA	4	6	4	5	6	TAK	34	35
88072914942	CZARNOMYS	EDYTA	2	5	5	5	5	TAK	39	42
88041808722	CZEKA£A	MAGDALENA	1	5	4	5	4	TAK	32	35
88020409779	CZYØEWSKI	PAWE£	4	4	5	4	6	TAK	37	48
88051907101	DANILUK	EWA	3	5	5	4	4	TAK	28	42
88022014425	DAWIDOWICZ	KAMILA	3	4	5	5	5	TAK	38	35
88040410669	D•BROWSKA	EWELINA	4	5	5	6	5	TAK	34	44
88031517432	DENISOW	EMILIA	2	5	5	6	5	TAK	34	33
88041116342	DERKOWSKA	KAROLINA	3	5	5	5	6	TAK	35	41
88021916674	D BKOWSKI	PIOTR	4	5	4	4	6	TAK	33	41
88102614831	DOBRZYCKI	PIOTR	4	5	5	6	5	TAK	39	47
88110312337	DOBRZYCKI	MAREK	1	4	6	4	5	NIE	38	43
88032909759	DOWGIERT	RAFA£	3	5	5	4	6	TAK	31	39
88042612786	DUBRAWSKA	DOMINIKA	3	5	5	5	5	TAK	41	38
88030512414	DUDZIK	GRZEGORZ	1	5	5	5	5	TAK	27	36
88122708312	DUDZIK	MICHA£	2	3	4	6	6	NIE	35	41
88041112709	DUNAJ	PAULA	3	4	4	5	5	TAK	37	32
88071609029	DWORAK	JUSTYNA	1	6	6	5	6	TAK	28	39
88101709107	DZIEDUSZOW	JOANNA	2	5	5	5	5	TAK	36	41
88021214208	DZIENISOWICZ	KATARZYNA	3	6	6	6	6	TAK	34	36
88101314278	DZIUBA	KAROLINA	3	5	5	5	5	TAK	38	31
88032813605	FALKOWSKA	JUSTYNA	2	5	5	5	5	TAK	38	31
88092217436	FALKOWSKI	MACIEJ	3	4	3	3	5	NIE	36	42
88101511849	FIEDORUK	KATARZYNA	4	5	5	5	5	TAK	35	39
88010913763	FLISAK	MAGDALENA	1	5	5	4	6	TAK	31	42
88040108791	GARDZIEJCZYK	MARIKA	1	5	5	5	6	TAK	27	43
88082007544	GARKOWSKA	KATARZYNA	4	5	4	6	6	TAK	29	30
88062212261	GAWRYCHOWSKA	BEATA	1	5	5	5	4	TAK	48	46
88022303439	GERTNER	TOMASZ	3	4	5	6	5	TAK	43	39
88100209010	GLI—SKI	KRYSTIAN	3	5	5	5	6	TAK	32	41
88040407281	GODZINA	NATASZA	2	5	4	4	6	TAK	40	41
88032009022	GO£ASZEWSKA	SYLWIA	1	5	5	5	5	TAK	44	41
88050410455	GROCHULSKI	KRZYSZTOF	3	4	4	4	5	NIE	38	49
88101415440	GRODZICKI	TOMASZ	2	4	4	4	6	TAK	26	38
88051411905	GRODZKA	MARTA	1	6	5	5	6	TAK	38	48
88020417251	GRODZKI	DARIUSZ	3	4	3	4	5	NIE	35	40
88010108417	GRUCA	MACIEJ	3	5	6	5	6	TAK	48	49
88060809704	GRUCA	SYLWIA	3	5	6	5	6	TAK	26	36
88030402391	GRYBOWICZ	MICHA£	3	5	5	5	6	TAK	35	45
88082910130	GRYGORUK	DARIUSZ	1	5	5	5	6	TAK	28	43
88100309117	GRZEGORCZYK	MATEUSZ	3	6	6	5	5	TAK	37	45
88010210860	HERMAN	MARTA	2	5	4	6	5	TAK	29	30
89012710506	IDèKOWSKI	PIOTR	1	5	4	3	4	NIE	38	45
88080416263	IGNACIUK	MARTA	1	6	5	6	5	TAK	49	44
88073109108	IGNACIUK	EDYTA	1	6	5	5	6	TAK	35	33
88112311975	IWANOWICZ	MAREK	1	5	5	5	6	TAK	42	33
88120109156	JAKIM	MAGDALENA	3	5	4	5	4	TAK	32	35
88090110274	JAKUBOWSKI	DAWID	1	5	5	5	5	TAK	37	43
88040512068	JAKUBOWSKI	MICHA£	4	4	5	4	5	TAK	38	34
88060409599	JA£BRZYKOWSKI	DANIEL	1	4	4	4	6	TAK	28	39
88060601267	JAMIO£KOWSKA	ELØBIETA	4	6	5	6	6	TAK	41	47
88100209004	JAMIO£KOWSKA	MARTA	4	6	6	6	6	TAK	41	46
88091113443	JANKOWIAK	EMILIA	2	5	5	6	6	TAK	31	48
88021712461	JAROCKA	MONIKA	4	5	6	5	6	TAK	26	36
88070909342	JAåKIEWICZ	WERONIKA	3	5	4	5	6	TAK	35	41
88011711100	JEGOROW	KATARZYNA	2	5	5	5	5	TAK	35	42
88031110451	KACZY—SKI	BARTOSZ	3	5	6	5	5	TAK	39	46
88030608759	KAKAREKO	PIOTR	2	4	5	4	6	TAK	39	47
89011512466	KALINOWSKA	PAULINA	4	5	6	6	6	TAK	41	48
88013109150	KALINOWSKI	B£AØEJ	1	4	5	5	6	TAK	30	44
88061610503	KAMI—SKA	ANNA	2	6	6	5	5	TAK	34	47
88021109456	KAMI—SKI	KRZYSZTOF	1	5	5	5	5	TAK	33	40
88071608028	KARELUS	ANNA	3	4	5	4	5	TAK	38	41
88112606114	KARKOWSKI	JAN	3	4	4	4	4	NIE	35	38
88083010426	KAROLAK	MICHALINA	1	6	6	5	5	TAK	47	47
88051717315	KEMPA	TOMASZ	4	5	5	5	5	TAK	32	43
88042815943	KERCHER	ANNA	4	5	6	5	5	TAK	42	44
88111308949	KIERCUL	MAGDALENA	1	5	5	6	5	TAK	23	35
88022010681	KIERUS	KINGA	4	5	5	6	6	TAK	39	43
88121009285	KIEZIK	ROKSANA	3	5	6	5	6	TAK	37	41
88101314275	KILUK	PIOTR	3	5	5	5	5	TAK	39	47
88073107754	KLIMIUK	TOMASZ	3	4	6	4	5	NIE	38	43
88092317112	KOLA—CZYK	MARCIN	3	5	5	5	6	TAK	44	49
88030316633	KOLA—CZYK	JAROS£AW	4	4	4	4	5	NIE	33	41
88052009512	KOROL	MICHA£	3	5	6	4	6	TAK	35	46
88050708406	KOROLCZUK	ANNA	4	5	5	5	5	TAK	40	39
88083014796	KORPACZ	PRZEMYS£AW	1	5	5	5	5	TAK	43	42
88051908126	KOSAKOWSKA	AGNIESZKA	4	6	5	5	5	TAK	37	36
88092914906	KOSSAKOWSKA	MAGDALENA	1	5	6	5	6	TAK	33	40
88022615800	KOWALCZUK	JOWITA	2	4	4	4	6	NIE	30	36
88112413882	KOZ£OWSKA	KATARZYNA	3	6	5	5	5	TAK	47	48
88090913570	KOZ£OWSKI	KONRAD	3	6	5	5	6	TAK	50	46
88041312249	KRAWIEC	URSZULA	3	5	5	4	6	TAK	34	35
88092514748	KRUCZKOWSKA	IWONA	1	5	5	5	5	TAK	38	39
88040209098	KRUCZKOWSKI	PAWE£	1	5	5	5	6	TAK	35	48
88022411147	KRUCZYK	AGNIESZKA	4	5	5	6	5	TAK	28	44
88070213166	KRYNICKA	ELØBIETA	1	5	6	5	5	TAK	40	47
88052611212	KRYNICKI	RADOS£AW	3	5	5	5	6	TAK	29	42
88070401905	KULESZA	BARBARA	2	4	5	5	5	TAK	42	42
88053013808	KULIKOWSKA	JOANNA	2	5	5	5	5	TAK	44	44
88040210276	KULPI—SKI	JAKUB	3	5	6	5	6	TAK	39	47
88070401911	KUSZNERCZUK	KAMILA	3	4	4	4	5	NIE	38	44
88031915759	KUZIO£A	DARIUSZ	3	5	5	5	6	TAK	39	47
88031706760	LEWANDOWSKA	MA£GORZATA	4	6	5	5	5	TAK	41	43
88121009031	LEWANDOWSKI	DAWID	3	5	5	4	6	TAK	31	39
88061607170	LEWCZYK	MICHA£	4	5	5	5	6	TAK	30	42
88020714754	LEWICKI	TOMASZ	1	5	5	5	6	TAK	32	38
88040407878	LICHAN”W	£UKASZ	1	4	6	4	5	TAK	41	48
88070309227	LIPNICKA	MARTA	1	4	4	4	5	NIE	31	42
88102409457	LIPNICKI	MACIEJ	2	4	5	4	5	TAK	38	34
88120309072	LULEWICZ	DAWID	2	6	5	5	6	TAK	40	45
88072302467	LULEWICZ	ANNA	3	4	4	4	5	NIE	38	49
88082610088	£OJKO	RAFA£	3	5	5	4	6	TAK	30	36
88012709951	£OZI—SKI	JAKUB	3	4	4	4	5	NIE	30	43
88051609928	£OZOWSKA	URSZULA	2	5	5	6	5	TAK	38	43
88041612114	£UKANOWSKI	PAWE£	3	4	4	4	6	TAK	29	32
88050615409	£UPI—SKA	MARTA	3	4	4	4	5	NIE	40	36
88040312336	MACIEJEWSKI	B£AØEJ	3	5	5	5	5	TAK	35	44
88081912911	MADEJ	MICHA£	2	5	5	5	5	TAK	40	48
88101807522	MAJEWSKA	JOANNA	1	4	5	4	5	NIE	34	40
88092707919	MAJEWSKI	RADOS£AW	1	5	6	5	5	TAK	32	45
88041910085	MAKSIM	NATALIA	4	4	5	5	5	TAK	34	43
88072302464	MALINOWSKA	MARTA	2	5	6	6	6	TAK	35	46
88071408598	MALINOWSKI	MATEUSZ	3	5	5	5	5	TAK	34	43
88083104998	MARCINOWICZ	RAFA£	1	5	5	4	6	TAK	34	35
88110507288	MATEL	EWA	2	5	5	3	4	TAK	38	40
88092909076	M•DRY	MATEUSZ	3	5	5	4	5	TAK	39	44
88030210336	MEYER	JAKUB	1	5	5	5	5	TAK	41	44
88090514405	MIAZGA	EWELINA	2	4	5	5	5	TAK	30	35
88042301637	MICHALCZUK	PRZEMYS£AW	1	5	4	4	5	TAK	41	46
88051210726	MICHA£OWSKA	KATARZYNA	4	6	6	6	6	TAK	37	46
88011013137	MICHA£OWSKA	ROKSANA	3	5	5	5	6	TAK	32	38
88112914482	MIELENKIEWICZ	KATARZYNA	2	5	6	6	6	TAK	34	34
88042105385	MOCARSKA	AGATA	2	5	6	5	5	TAK	36	43
88021017177	MUCZY—SKI	KAROL	1	4	4	5	5	TAK	37	32
88123013068	MUKLEWICZ	DOROTA	4	5	5	5	5	TAK	30	44
88022615848	MUZALEWSKA	MONIKA	4	6	5	5	6	TAK	41	50
88120507715	NASUTO	DAWID	1	5	4	3	4	NIE	38	45
88122505643	NAWARKO	EWA	4	5	5	5	5	TAK	34	40
88040512064	NAZARKIEWICZ	ANGELIKA	2	5	5	5	4	TAK	35	46
88042811611	NIEåCIEROWICZ	PAWE£	1	4	4	4	5	NIE	33	41
88020816205	NIKO£AJUK	AGNIESZKA	2	4	5	5	6	TAK	29	45
88032303843	OBIEDZI—SKA	MARLENA	3	6	5	5	6	TAK	44	38
88062210191	OCHRYMIUK	PIOTR	1	5	5	5	5	TAK	36	42
88061913927	OLCHOWIK	ELØBIETA	1	6	5	6	5	TAK	38	41
88030316629	OLEKSZA	KAMILA	3	6	5	6	5	TAK	34	47
88080712413	OSTASZ	KRZYSZTOF	4	5	6	4	5	TAK	37	44
88031311500	OSTROWSKA	KAROLINA	2	6	5	5	5	TAK	37	42
88080911935	OWERCZUK	£UKASZ	3	4	5	5	6	TAK	30	44
88062314277	OWERCZUK	JAN	3	4	4	4	6	NIE	33	41
88052510887	PANKOWIEC	MAGDALENA	3	5	5	5	5	TAK	44	41
88041713565	PANKOWIEC	ANNA	2	4	5	4	6	NIE	40	46
88052515714	PARFENIUK	ANNA	1	6	6	6	6	TAK	41	47
88092109610	PARFENIUK	KRZYSZTOF	1	4	4	5	6	TAK	34	35
88051216203	PIEKUT	EWELINA	4	6	5	4	6	TAK	40	45
88092912379	PILCH	MAREK	3	5	3	4	6	TAK	32	42
88091514218	POKORSKA	ANNA	1	4	5	6	5	TAK	33	30
88052511888	PONIATOWSKA	OLGA	2	5	5	5	5	TAK	40	42
88052815746	PONIATOWSKA	MA£GORZATA	1	5	5	5	5	TAK	38	39
88022315885	POP£AWSKA	URSZULA	2	4	4	5	6	TAK	34	35
88092404557	PRAGA	KACPER	3	5	5	5	6	TAK	33	44
88050210284	PROKOPIUK	MARTA	3	4	6	4	5	TAK	27	40
88021911143	PRZEPI”RKOWSKA	MARTA	4	4	4	5	6	TAK	33	32
88041410002	PRZEWODEK	ANNA	4	5	5	5	6	TAK	41	41
88082610085	RADIO	MARIOLA	2	6	5	6	6	TAK	39	45
88020708502	RAGI—	MARTA	4	5	5	5	6	TAK	38	46
88092109605	RATKIEWICZ	DOMINIKA	1	5	5	5	5	TAK	36	46
88032701290	REDèKO	PIOTR	1	5	5	5	5	TAK	33	44
88050205408	ROGUCKA	KAROLINA	4	6	6	6	6	TAK	39	42
88072215890	ROGUCKA	AGNIESZKA	2	4	3	4	5	NIE	35	40
88032410192	ROMANOWICZ	PIOTR	3	5	5	6	5	TAK	38	43
88100207545	ROSZKOWSKA	SONIA	4	6	5	5	5	TAK	46	46
88012704611	ROSZKOWSKI	KACPER	3	4	5	4	6	TAK	37	44
88091311513	RUDZIAK	MICHA£	1	5	6	5	5	TAK	41	49
88031316512	RZEPNY	KRYSTIAN	2	4	5	5	5	TAK	39	44
88040610359	SANIK	JAKUB	3	4	4	4	6	TAK	33	36
88090610705	SAPIEØKO	KLAUDIA	3	5	5	4	5	TAK	38	30
88071912941	SARNOCI—SKA	ANNA	3	5	4	5	5	TAK	34	27
88110314222	SAWCZUK	IZABELA	3	4	5	4	5	TAK	30	44
88101107707	SAWICKA	OLGA	4	6	4	6	4	TAK	44	36
88092212713	SIEMI•TKOWSKA	AGATA	3	5	3	4	6	TAK	32	42
88021212435	SIEMI•TKOWSKI	£UKASZ	2	6	6	6	5	TAK	37	49
88021816257	SIEMIENIAKO	MICHA£	4	6	5	5	6	TAK	42	46
88121607568	SIERAKOWSKA	MA£GORZATA	3	4	5	5	5	TAK	34	43
88051101567	SINICKA	EWELINA	3	5	5	5	5	TAK	32	30
89011507045	SIWAK	URSZULA	3	6	5	6	5	TAK	43	46
88090615793	SIWIK	MARIUSZ	2	6	6	6	5	TAK	44	50
88032414167	SIWIK	AGATA	4	6	6	5	6	TAK	28	39
88060316691	SKALMOWSKI	MARCIN	1	4	4	4	5	NIE	38	44
88031214780	SKIBICKA	MAGDALENA	3	6	6	5	5	TAK	34	47
88052815754	SKIBICKI	PAWE£	3	5	5	6	6	TAK	31	31
88072511040	SKOBODZI—SKA	KAROLINA	2	5	5	6	6	TAK	36	37
88031315146	SMYK	ANITA	1	6	6	5	5	TAK	46	40
88030510788	SOBOLEWSKA	KAROLINA	3	6	6	5	5	TAK	39	47
88013109149	SOCHO—	EWA	4	6	5	5	5	TAK	41	44
88100415502	SOKO£OWSKA	EWA	3	6	5	6	5	TAK	39	42
88030415908	SOKO£OWSKA	JOANNA	4	4	5	5	6	TAK	35	40
88012915800	SOKO£OWSKA	SYLWIA	1	6	5	4	5	TAK	42	32
88090704130	SO£OWIEJ	TOMASZ	3	5	5	5	6	TAK	32	41
88021212935	SO£OWIEJ	NATASZA	1	5	4	5	6	NIE	39	43
88101708410	STANKIEWICZ	JAN	3	5	6	4	6	TAK	39	41
88052408281	STANKIEWICZ	BARTOSZ	3	5	4	5	6	NIE	39	43
88121009025	STASIUKIEWICZ	WIOLETTA	4	6	6	6	6	TAK	38	42
88101607160	STOPNICKA	ANNA	2	5	5	5	6	TAK	36	44
88061512133	SUNICKI	MARCIN	2	5	5	5	5	TAK	39	48
88041312243	SZACKA	EDYTA	2	5	5	5	5	TAK	40	42
88120510780	SZCZEPANIAK	ANNA	4	5	5	5	5	TAK	46	42
88020316048	SZEPIETOWSKA	KAROLINA	3	5	5	5	6	TAK	37	45
89010714323	SZEREMETA	IZABELA	3	5	5	5	6	TAK	47	48
88040507431	SZYMANOWSKI	KAMIL	1	5	6	6	6	TAK	37	47
88032210198	SZYMA—SKI	JAKUB	3	5	5	6	6	TAK	41	48
88051916608	åWIDERSKA	JOANNA	1	4	4	5	5	NIE	37	30
88111803994	åWINIARSKI	DANIEL	1	5	5	5	5	TAK	42	45
88100102062	TODRYK	EWELINA	2	5	5	4	6	TAK	30	36
88070314430	TOFI£O	JACEK	4	5	6	6	6	TAK	32	42
88022014982	TOKAJUK	KAROLINA	3	4	4	4	5	TAK	32	35
88091612748	TOMCZUK	MICHA£	4	5	4	4	5	TAK	37	39
89010206785	TYRA£A	EWA	2	5	6	5	5	TAK	33	47
88080909145	URBA—SKA	KATARZYNA	1	6	5	4	5	TAK	39	45
88022411185	UTKO	SYLWIA	2	6	5	5	6	TAK	37	41
88083014804	WARCHAPOWICZ	EWELINA	3	5	5	5	5	TAK	27	36
88112907956	WARZY—SKI	PATRYK	4	6	5	5	6	TAK	44	46
88112914491	WARZY—SKI	PIOTR	4	4	6	4	5	TAK	27	40
88122914469	WASILEWSKA	KATARZYNA	4	6	5	5	6	TAK	40	39
88042116945	WASZKIEWICZ	URSZULA	3	6	5	5	5	TAK	41	48
88030812521	W•DO£OWSKA	EDYTA	3	6	5	5	5	TAK	36	40
88011110442	WERPACHOWSKA	SYLWIA	3	5	5	5	6	TAK	31	44
88070701333	W GRZYN	TOMASZ	2	4	5	5	6	TAK	39	48
88042607337	WILCZEWSKI	BARTOSZ	3	5	5	5	5	TAK	47	48
88032009025	WINSKO	PIOTR	3	4	5	4	5	TAK	30	44
88120707115	WIåNIOWSKI	TOMASZ	2	6	6	5	6	TAK	36	48
88012315754	WOJSZKO	PIOTR	3	4	4	4	5	NIE	39	46
88082409476	WOJSZKO	PAWE£	3	5	4	5	5	TAK	33	46
88031517425	WYSOCKA	ANNA	3	5	6	5	6	TAK	38	45
88022409890	ZADYKOWICZ	PIOTR	1	4	4	4	6	TAK	30	25
88030101597	ZAR BA	PRZEMYS£AW	4	4	4	5	6	NIE	25	42
88041607543	ZDUNIEWICZ	KATARZYNA	3	5	5	5	6	TAK	35	41
88091714729	ZELEROWICZ	URSZULA	4	6	5	5	6	TAK	35	47
88060809696	ZWIERZY—SKI	TOMASZ	4	5	5	6	5	TAK	42	46
