"LP";"NUMER";"IMIE";"NAZWISKO";"ULICA";"MIASTO";"URODZONY";"ZAM";"SZKOLA";"ROCZNIK";"PLEC";"OLIMPIADA";"EGZAMIN";"OCENA";"POCH";"ZDAL";"PRZYJETY";"AKADEMIK";"STOLOWKA";"PUNKTY";"DOCHOD"
11,00;333,00;"Monika";"Rz¹ca";"Mitkowskiego 93";"Krosno";1976-4-30 00:00:00;"M";"LO";1994,00;"K";"N";"G";4,00;"R";"tak";"tak";"T";"T";9,00;808,10 z³
12,00;200,00;"Gertruda";"Janek";"Dlugie 373";"Krosno";1975-9-14 00:00:00;"W";"LO";1994,00;"K";"T";"B";4,00;"R";"tak";"nie";"T";"T";19,00;713,20 z³
13,00;248,00;"Ma³gorzata";"Kozio³";"9-go Maja 10/34";"Kielce";1976-12-6 00:00:00;"M";"LO";1994,00;"K";"T";"G";3,50;"I";"tak";"nie";"T";"T";18,00;1309,90 z³
14,00;301,00;"Ewa";"Tarsa";"Biskupice 101";"Kielce";1977-1-1 00:00:00;"W";"LE";1994,00;"K";"N";"G";3,50;"C";"tak";"nie";"T";"T";9,00;487,00 z³
15,00;177,00;"Ma³gorzata";"Rafa";"Smolki 14/18";"Krosno";1975-6-19 00:00:00;"M";"LO";1992,00;"K";"N";"C";4,00;"R";"tak";"nie";"T";"T";3,00;1373,40 z³
16,00;176,00;"Beata";"Cop";"Smolki 14/15";"Krosno";1972-8-4 00:00:00;"M";"LO";1994,00;"K";"T";"M";4,00;"R";"tak";"tak";"T";"T";5,00;747,90 z³
17,00;174,00;"Aneta";"Cop";"Glowienka 96B";"Krosno";1971-12-10 00:00:00;"W";"LO";1994,00;"K";"T";"B";4,00;"R";"tak";"nie";"T";"T";3,00;761,30 z³
18,00;147,00;"Beata";"Rz¹ca";"Berezka 18";"Krosno";1975-5-27 00:00:00;"W";"LO";1994,00;"K";"T";"B";4,00;"I";"tak";"tak";"T";"T";14,00;996,50 z³
19,00;110,00;"Ma³gorzata";"Szewczyk";"Smolki 5/31";"Krosno";1972-9-26 00:00:00;"M";"LO";1993,00;"K";"N";"B";4,00;"I";"tak";"tak";"N";"T";15,00;637,60 z³
20,00;61,00;"Robert";"Ha³gas";"Jana Pawla II 41/29";"Krosno";1973-6-26 00:00:00;"M";"LO";1994,00;"M";"N";"M";4,00;"R";"tak";"nie";"T";"T";19,00;402,70 z³
21,00;24,00;"Rafa³";"Madej";"Jana Pawla II 13";"Krosno";1974-9-2 00:00:00;"M";"LO";1994,00;"M";"N";"F";4,00;"R";"tak";"tak";"N";"T";5,00;1271,30 z³
22,00;53,00;"Marian";"Æwiklik";"Wesola 523";"Krosno";1976-5-29 00:00:00;"W";"T.MECH";1994,00;"M";"T";"H";4,00;"R";"tak";"nie";"T";"T";7,00;971,90 z³
23,00;235,00;"Beata";"Majcher";"Roznowice 227";"Krosno";1971-9-3 00:00:00;"W";"T.ROL";1994,00;"K";"T";"H";4,00;"I";"tak";"tak";"T";"T";7,00;1136,20 z³
24,00;86,00;"Rafa³";"Klimek";"3-go Maja 38/98";"Krosno";1976-2-27 00:00:00;"M";"T.WETER";1994,00;"M";"N";"H";4,00;"I";"tak";"nie";"T";"T";18,00;1294,30 z³
25,00;406,00;"Anna";"Bo¿ek";"Wojtowa 8";"Krosno";1973-3-17 00:00:00;"W";"LE";1993,00;"K";"T";"H";3,50;"R";"tak";"nie";"T";"T";13,00;1377,70 z³
26,00;66,00;"Edyta";"Kantor";"Skolyszyn 290";"Krosno";1974-6-20 00:00:00;"W";"LE";1994,00;"K";"N";"H";3,50;"R";"tak";"nie";"T";"T";18,00;1173,30 z³
27,00;358,00;"Jolanta";"Rz¹ca";"Akacjowa 4";"Krosno";1973-2-22 00:00:00;"M";"LO";1994,00;"K";"T";"B";3,50;"R";"tak";"nie";"T";"N";3,00;764,50 z³
28,00;334,00;"Edyta";"Salwa";"Kolejowa 136";"Krosno";1972-6-7 00:00:00;"M";"LO";1994,00;"K";"N";"H";3,50;"R";"tak";"nie";"T";"T";2,00;946,90 z³
29,00;291,00;"Jolanta";"Sikora";"Manasterzec 15A";"Krosno";1973-6-13 00:00:00;"W";"LO";1994,00;"K";"N";"M";3,50;"R";"tak";"nie";"T";"T";7,00;491,00 z³
30,00;198,00;"Anna";"Janas";"Komancza 121";"Krosno";1971-7-10 00:00:00;"W";"LO";1994,00;"K";"N";"M";3,50;"I";"tak";"nie";"T";"T";11,00;1285,80 z³
31,00;100,00;"Agnieszka";"Skiba";"Bazanowka 223";"Krosno";1972-11-24 00:00:00;"W";"LO";1993,00;"K";"T";"M";3,50;"R";"tak";"nie";"T";"T";8,00;1039,60 z³
32,00;58,00;"Janusz";"Pater";"Milcza 74";"Krosno";1975-11-16 00:00:00;"W";"LO";1994,00;"M";"T";"G";3,50;"R";"tak";"nie";"T";"T";17,00;1010,90 z³
33,00;5,00;"Joanna";"Za³êska";"Piekarska 11";"Krosno";1976-8-31 00:00:00;"M";"LO";1992,00;"K";"N";"G";3,50;"I";"tak";"nie";"T";"T";14,00;1212,20 z³
34,00;78,00;"Zuzanna";"Grabowska";"Bieszczadzka 44";"Krosno";1975-9-12 00:00:00;"W";"LZ";1994,00;"K";"N";"H";3,50;"R";"tak";"nie";"T";"T";5,00;888,70 z³
35,00;357,00;"Gra¿yna";"Rura";"Dlugie 361";"Krosno";1973-3-11 00:00:00;"W";"Z.S.E";1994,00;"K";"T";"F";3,50;"R";"tak";"nie";"T";"T";4,00;594,00 z³
36,00;45,00;"Ma³gorzata";"Œwiniarski";"Dlugie 199";"Krosno";1972-6-1 00:00:00;"W";"Z.S.E";1994,00;"K";"T";"G";3,50;"R";"tak";"nie";"T";"T";15,00;1160,10 z³
37,00;254,00;"El¿bieta";"Klimek";"Traugutta 18/10";"Krosno";1976-3-1 00:00:00;"M";"LE";1994,00;"K";"T";"G";3,00;"I";"tak";"nie";"T";"T";2,00;588,70 z³
38,00;252,00;"Marta";"Gaber";"Jabloni 8/39";"Krosno";1973-10-27 00:00:00;"M";"LE";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";3,00;1296,90 z³
39,00;255,00;"Ma³gorzata";"Cieœla";"Jablonica Polska 25";"Krosno";1971-10-15 00:00:00;"W";"LO";1994,00;"K";"T";"C";3,00;"I";"tak";"nie";"T";"T";16,00;582,10 z³
40,00;179,00;"Agnieszka";"Serafin";"Myczkowce 90";"Krosno";1972-11-4 00:00:00;"W";"LO";1994,00;"K";"N";"H";3,00;"R";"tak";"nie";"T";"T";15,00;447,20 z³
41,00;138,00;"Magdalena";"Niemaszyk";"Baczynskiego 11A/48";"Krosno";1974-2-28 00:00:00;"M";"LO";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"N";"T";15,00;874,00 z³
42,00;106,00;"Arleta";"Cieœla";"Kazimierza Wielkieg";"Krosno";1973-4-18 00:00:00;"M";"LO";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"T";"T";10,00;706,30 z³
43,00;77,00;"Ma³gorzata";"Szymczyk";"Piekarska 21";"Krosno";1972-3-7 00:00:00;"M";"LO";1994,00;"K";"T";"H";3,00;"R";"tak";"nie";"T";"N";12,00;532,60 z³
44,00;72,00;"Ma³gorzata";"Klimek";"Plowiecka 55";"Krosno";1976-2-9 00:00:00;"M";"LO";1994,00;"K";"T";"B";3,00;"I";"tak";"nie";"T";"T";6,00;552,00 z³
45,00;46,00;"Anna";"Salwa";"Turzansk 18";"Krosno";1973-12-6 00:00:00;"W";"LO";1994,00;"K";"N";"B";3,00;"C";"tak";"nie";"T";"T";14,00;663,30 z³
46,00;19,00;"Monika";"Myszkowski";"Lajsce 121";"Krosno";1972-12-6 00:00:00;"W";"LO";1994,00;"K";"T";"M";3,00;"R";"tak";"nie";"T";"T";7,00;1150,60 z³
47,00;324,00;"Justyna";"Wachowicz";"Warzyce 16";"Krosno";1972-12-14 00:00:00;"W";"LZ";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";4,00;701,50 z³
48,00;4,00;"Pawe³";"Tomalska";"Stawowa 5/1";"Krosno";1975-6-15 00:00:00;"M";"T.HOD";1993,00;"M";"T";"G";3,00;"R";"tak";"nie";"N";"T";0,00;1165,10 z³
49,00;178,00;"Edyta";"Kotowicz";"Stawowa 8/1";"Krosno";1974-4-28 00:00:00;"M";"LO";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"T";"T";14,00;1072,40 z³
50,00;136,00;"Marek";"Wojna";"Nagorzany 5";"Krosno";1971-12-22 00:00:00;"W";"T.ROL";1994,00;"M";"N";"G";3,00;"I";"tak";"nie";"T";"T";0,00;1223,40 z³
51,00;135,00;"Maciej";"Sikora";"Klasztorna 7";"Krosno";1971-3-20 00:00:00;"M";"T.ROL";1994,00;"M";"N";"G";3,00;"R";"tak";"nie";"T";"T";12,00;1149,60 z³
52,00;40,00;"Grzegorz";"Zych";"Wroblik Szlachecki";"Krosno";1972-1-1 00:00:00;"W";"T.Z";1994,00;"M";"T";"G";3,00;"R";"tak";"nie";"T";"T";1,00;1222,40 z³
53,00;330,00;"Ewa";"Rz¹ca";"Starowiejska 86";"Krosno";1976-6-2 00:00:00;"M";"Z.S.ROL";1993,00;"K";"T";"G";3,00;"R";"tak";"nie";"T";"T";6,00;1323,60 z³
54,00;275,00;"Joanna";"¯arnowska";"3-go Maja 34/88";"Krosno";1976-9-11 00:00:00;"M";"Z.S.ROL";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";9,00;810,30 z³
55,00;65,00;"Beata";"Ziêba";"Osobnica 540";"Krosno";1971-7-31 00:00:00;"W";"Z.S.ROL";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"N";"T";16,00;496,60 z³
56,00;91,00;"Renata";"Knapik";"os.910A";"Krosno";1975-2-22 00:00:00;"M";"Z.S.Z";1994,00;"K";"T";"G";3,00;"R";"tak";"nie";"T";"T";8,00;930,80 z³
57,00;220,00;"Anna";"Wójtowicz";"Unii Brzeskiej 36B/";"Krosno";1974-12-10 00:00:00;"M";"LO";1994,00;"K";"T";"B";2,00;"R";"nie";"nie";"T";"T";11,00;448,10 z³
58,00;203,00;"Margareta";"Smo³kowicz";"Grodzka 26";"Krosno";1972-2-13 00:00:00;"M";"LO";1994,00;"K";"T";"G";2,00;"R";"nie";"nie";"N";"T";14,00;600,50 z³
59,00;274,00;"Agnieszka";"Szewczyk";"K.Bacznskiego 25";"Krosno";1976-9-27 00:00:00;"M";"Z.S.ROL";1994,00;"K";"N";"B";2,00;"I";"nie";"nie";"T";"T";3,00;994,70 z³
60,00;273,00;"Ma³gorzata";"Tarsa";"3-go Maja 34/88";"Krosno";1973-2-26 00:00:00;"M";"Z.S.ROL";1993,00;"K";"N";"M";2,00;"R";"nie";"nie";"T";"T";18,00;728,10 z³
61,00;146,00;"Ma³gorzata";"Tomasik";"Nadbrzezna 2/27";"Nowy S¹cz";1972-12-16 00:00:00;"M";"LO";1994,00;"K";"N";"H";5,00;"I";"tak";"tak";"T";"T";18,00;557,30 z³
62,00;145,00;"Agnieszka";"Kukla";"Slonaczna 6/64";"Nowy S¹cz";1973-1-14 00:00:00;"M";"LO";1994,00;"K";"T";"F";5,00;"R";"tak";"tak";"T";"T";3,00;1073,50 z³
63,00;127,00;"Krzysztof";"Tomasik";"Roznow 81";"Nowy S¹cz";1973-11-30 00:00:00;"W";"T.M.R";1994,00;"M";"T";"H";5,00;"R";"tak";"tak";"T";"T";16,00;644,60 z³
64,00;204,00;"Grzegorz";"Kaliszuk";"Wola Luzanska 190";"Nowy S¹cz";1976-5-22 00:00:00;"W";"T.Z";1994,00;"M";"N";"H";4,50;"I";"tak";"tak";"T";"T";13,00;669,80 z³
65,00;391,00;"Agnieszka";"Œliwa";"Dukielska 77/8";"Nowy S¹cz";1973-2-20 00:00:00;"M";"LO";1994,00;"K";"T";"H";3,50;"R";"tak";"nie";"T";"T";18,00;964,30 z³
66,00;74,00;"Anna";"Kozio³";"J.Bema 4/13";"Nowy S¹cz";1975-4-5 00:00:00;"M";"LO";1993,00;"K";"N";"G";3,50;"R";"tak";"nie";"T";"T";2,00;969,90 z³
67,00;102,00;"Barbara";"Kowalski";"Ropica Polska 21";"Nowy S¹cz";1976-10-30 00:00:00;"W";"LE";1994,00;"K";"T";"H";3,00;"R";"tak";"nie";"T";"T";19,00;1174,40 z³
68,00;90,00;"Edyta";"Piecuch";"Kazimierza Wielkieg";"Nowy S¹cz";1972-1-22 00:00:00;"M";"LO";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";3,00;657,70 z³
69,00;64,00;"Joanna";"Gryzik";"gen.J.Bema 3/31";"Nowy S¹cz";1971-7-24 00:00:00;"M";"LZ";1994,00;"K";"N";"C";3,00;"R";"tak";"nie";"T";"T";7,00;1128,90 z³
70,00;193,00;"Agnieszka";"Rafa";"Wierchomla Wielka 8";"Nowy S¹cz";1976-3-20 00:00:00;"W";"Z.S.ROL";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";5,00;730,60 z³
71,00;73,00;"Katarzyna";"Krzysztoñ";"Biala Nizna 349";"Nowy S¹cz";1975-1-30 00:00:00;"W";"LO";1993,00;"K";"T";"G";2,00;"I";"nie";"nie";"T";"T";16,00;1336,70 z³
72,00;97,00;"Teresa";"Ziemianin";"Sniedzanowo 12";"P³ock";1976-12-15 00:00:00;"W";"LE";1994,00;"K";"T";"G";3,00;"C";"tak";"nie";"T";"T";12,00;905,30 z³
73,00;47,00;"Rafa³";"Wiejaczka";"Wola Luzanska 200";"Nowy S¹cz";1976-2-23 00:00:00;"W";"T.Z";1994,00;"M";"N";"G";2,00;"I";"nie";"nie";"T";"T";7,00;1374,20 z³
74,00;96,00;"Ma³gorzata";"Korzec";"Sniedzianowo 12";"P³ock";1973-11-14 00:00:00;"W";"LE";1994,00;"K";"N";"G";2,00;"C";"nie";"nie";"T";"T";4,00;975,40 z³
75,00;148,00;"Edyta";"Motyka";"Nowa Grobla 32";"Przemyœl";1974-4-24 00:00:00;"W";"LE";1994,00;"K";"T";"G";5,00;"R";"tak";"tak";"T";"T";14,00;405,40 z³
76,00;80,00;"Marzena";"Gwó¿d¿";"Norwida 8/50";"Przemyœl";1975-2-1 00:00:00;"M";"LE";1994,00;"K";"T";"G";5,00;"R";"tak";"tak";"T";"T";3,00;512,90 z³
77,00;285,00;"Ewa";"Ligêza";"os.Armii Krajowej 1";"Przemyœl";1973-8-19 00:00:00;"M";"LO";1994,00;"K";"T";"G";5,00;"I";"tak";"tak";"T";"T";5,00;766,00 z³
78,00;9,00;"Aneta";"Wresi³o";"Sapiehy 4/7";"Przemyœl";1973-8-4 00:00:00;"M";"LO";1993,00;"K";"N";"G";5,00;"R";"tak";"tak";"T";"T";10,00;458,30 z³
79,00;160,00;"Wioletta";"Wiêcek";"Mirocin 306";"Przemyœl";1971-8-9 00:00:00;"W";"LE";1994,00;"K";"T";"G";4,50;"C";"tak";"tak";"T";"T";9,00;693,30 z³
80,00;152,00;"Lucyna";"Michalik";"Dachnow 173";"Przemyœl";1975-1-31 00:00:00;"W";"LE";1994,00;"K";"N";"G";4,50;"C";"tak";"tak";"T";"T";2,00;744,10 z³
81,00;170,00;"Katarzyna";"Dynda";"Rudolowice 33";"Przemyœl";1975-3-25 00:00:00;"W";"T.OGR";1994,00;"K";"N";"B";4,50;"C";"tak";"tak";"T";"T";19,00;925,80 z³
82,00;393,00;"Joanna";"Myszkowska";"Sw.Barbary 65";"Przemyœl";1975-11-2 00:00:00;"M";"LE";1994,00;"K";"N";"G";4,00;"R";"tak";"tak";"T";"T";6,00;409,60 z³
83,00;294,00;"Joanna";"Madej";"os.Nowe Siolo 66/3";"Przemyœl";1971-5-20 00:00:00;"M";"LE";1994,00;"K";"T";"G";4,00;"I";"tak";"tak";"T";"T";2,00;1117,80 z³
84,00;282,00;"Renata";"Pater";"Fredropol 23";"Przemyœl";1971-6-25 00:00:00;"W";"LE";1994,00;"K";"T";"F";4,00;"R";"tak";"tak";"T";"T";11,00;688,10 z³
85,00;162,00;"Lucyna";"Niemaszyk";"Rokietnica 58";"Przemyœl";1973-3-19 00:00:00;"W";"LE";1994,00;"K";"N";"M";4,00;"C";"tak";"tak";"T";"T";10,00;553,00 z³
86,00;161,00;"Aneta";"Szewczyk";"Studzian 294";"Przemyœl";1976-10-11 00:00:00;"W";"LE";1994,00;"K";"T";"M";4,00;"R";"tak";"tak";"N";"T";20,00;1106,60 z³
87,00;362,00;"Artur";"Cop";"Rokietnica 674";"Przemyœl";1972-6-26 00:00:00;"W";"LO";1991,00;"M";"N";"M";4,00;"I";"tak";"tak";"T";"T";11,00;502,40 z³
88,00;104,00;"Monika";"Jerzak";"plk.T.Rolskiego 15";"Przemyœl";1974-4-3 00:00:00;"M";"LO";1994,00;"K";"T";"G";4,50;"R";"tak";"tak";"T";"T";8,00;1298,80 z³
89,00;67,00;"Marzena";"Janek";"Laszki 213";"Przemyœl";1971-4-5 00:00:00;"W";"LE";1994,00;"K";"N";"G";4,00;"C";"tak";"tak";"T";"T";18,00;1281,40 z³
90,00;157,00;"Marian";"Niemaszyk";"Raczyna 287";"Przemyœl";1975-12-16 00:00:00;"W";"LO";1994,00;"M";"N";"C";4,00;"C";"tak";"tak";"T";"T";19,00;1059,00 z³
91,00;105,00;"Agnieszka";"Æwiklik";"Misiagiewicza 18/38";"Przemyœl";1972-4-4 00:00:00;"M";"LO";1994,00;"K";"N";"G";4,00;"R";"tak";"tak";"T";"T";3,00;1226,90 z³
92,00;12,00;"Wojciech";"Wójtowicz";"Sietesz 355";"Przemyœl";1974-8-22 00:00:00;"W";"T.M.R";1994,00;"M";"T";"G";4,00;"R";"tak";"nie";"T";"T";12,00;1202,70 z³
93,00;347,00;"Zbigniew";"Mikosz";"Polna 5";"Przemyœl";1973-11-3 00:00:00;"W";"T.Z";1993,00;"M";"T";"G";4,00;"R";"tak";"nie";"T";"T";6,00;563,10 z³
94,00;322,00;"Zbigniew";"Zabrzañski";"Grzaska 482";"Przemyœl";1973-11-27 00:00:00;"W";"Z.S.ELK";1994,00;"M";"N";"G";4,00;"I";"tak";"nie";"T";"T";18,00;1309,70 z³
95,00;396,00;"Barbara";"Surzyñska";"os.Sapiehy 5/4";"Przemyœl";1975-10-10 00:00:00;"M";"LE";1994,00;"K";"N";"G";3,50;"I";"tak";"nie";"N";"T";7,00;576,60 z³
96,00;231,00;"Renata";"Kuk";"Moszczanica 84";"Przemyœl";1975-5-7 00:00:00;"W";"LE";1993,00;"K";"T";"G";3,50;"C";"tak";"nie";"T";"T";20,00;1394,10 z³
97,00;158,00;"Jolanta";"Tomasik";"Zabiala 26";"Przemyœl";1972-2-10 00:00:00;"M";"LE";1994,00;"K";"T";"G";3,50;"C";"tak";"nie";"T";"T";11,00;432,60 z³
98,00;263,00;"Barbara";"Górski";"Jagiellonska 14/11";"Przemyœl";1975-6-20 00:00:00;"M";"LO";1994,00;"K";"T";"M";3,50;"I";"tak";"nie";"T";"T";12,00;1166,00 z³
99,00;207,00;"Aneta";"Szura";"Debow 44";"Przemyœl";1974-6-2 00:00:00;"W";"LO";1994,00;"K";"N";"G";3,50;"R";"tak";"nie";"T";"T";12,00;1165,50 z³
100,00;156,00;"Krzysztof";"Buraœ";"Urzejowice 510";"Przemyœl";1976-11-23 00:00:00;"W";"LO";1994,00;"M";"N";"B";3,50;"C";"tak";"nie";"N";"T";19,00;1360,60 z³
101,00;155,00;"Anna";"Zawiœlak";"Lopuszka Mala 129";"Przemyœl";1971-8-9 00:00:00;"W";"LO";1994,00;"K";"N";"G";3,50;"C";"tak";"nie";"T";"T";17,00;770,90 z³
102,00;31,00;"Dorota";"Mikosz";"Zurawica 16";"Przemyœl";1972-2-13 00:00:00;"W";"LO";1993,00;"K";"T";"B";3,50;"I";"tak";"nie";"T";"T";11,00;1086,40 z³
103,00;223,00;"Tomasz";"Kalisz";"os.Sloneczne 1/32";"Przemyœl";1972-7-10 00:00:00;"M";"T.OGR";1994,00;"M";"T";"G";3,50;"I";"tak";"nie";"T";"T";9,00;1274,30 z³
104,00;33,00;"Bo¿ena";"Rafa";"Tryncza 44";"Przemyœl";1972-4-22 00:00:00;"W";"T.Z";1994,00;"K";"N";"M";3,50;"R";"tak";"nie";"T";"T";20,00;1239,80 z³
105,00;323,00;"Dariusz";"Wal¹g";"Os.Kombatantow 14/1";"Przemyœl";1974-10-30 00:00:00;"M";"Z.S.SPO";1994,00;"M";"T";"G";3,50;"R";"tak";"nie";"T";"T";7,00;688,00 z³
106,00;407,00;"Dorota";"Trybus";"Mokra 11";"Przemyœl";1972-5-13 00:00:00;"M";"LE";1993,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";17,00;1332,00 z³
107,00;388,00;"Agata";"Bo¿ek";"Cewkow 36";"Przemyœl";1971-9-22 00:00:00;"W";"LE";1994,00;"K";"T";"H";3,00;"C";"tak";"nie";"T";"T";4,00;410,60 z³
108,00;295,00;"Sabina";"Œwiêch";"Mickiewicza 243";"Przemyœl";1974-8-1 00:00:00;"M";"LE";1994,00;"K";"N";"G";3,00;"I";"tak";"nie";"T";"T";3,00;847,90 z³
109,00;182,00;"Ma³gorzata";"Za³êska";"Rokietnica 196";"Przemyœl";1975-1-5 00:00:00;"W";"LE";1994,00;"K";"N";"G";3,00;"I";"tak";"nie";"T";"T";12,00;609,80 z³
110,00;181,00;"Alicja";"Tomalska";"Zadabrowie 3";"Przemyœl";1974-5-6 00:00:00;"W";"LE";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";3,00;1370,30 z³
111,00;113,00;"Agata";"Wiêcek";"Stubno 100";"Przemyœl";1971-8-8 00:00:00;"W";"LE";1994,00;"K";"T";"G";3,00;"R";"tak";"nie";"T";"T";18,00;860,30 z³
112,00;39,00;"Renata";"Rura";"Kochanowskiego 26";"Przemyœl";1972-12-18 00:00:00;"M";"LE";1993,00;"K";"T";"H";3,00;"R";"tak";"nie";"T";"T";1,00;514,60 z³
113,00;6,00;"Joanna";"Augustyn";"Parkowa 2";"Przemyœl";1971-10-27 00:00:00;"M";"LE";1993,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";5,00;488,80 z³
114,00;408,00;"Robert";"Gaber";"Pigany 76";"Przemyœl";1976-8-19 00:00:00;"W";"LO";1994,00;"M";"N";"G";3,00;"C";"tak";"nie";"T";"T";9,00;730,30 z³
115,00;212,00;"Ma³gorzata";"Wresi³o";"Walowa 5B";"Przemyœl";1971-8-19 00:00:00;"M";"LO";1994,00;"K";"T";"B";3,00;"R";"tak";"nie";"T";"T";11,00;547,50 z³
116,00;187,00;"Lidia";"Zabierowski";"Kosciuszki 38";"Przemyœl";1971-12-11 00:00:00;"M";"LO";1994,00;"K";"T";"G";3,00;"R";"tak";"nie";"T";"T";7,00;849,50 z³
117,00;23,00;"Adam";"Gwó¿d¿";"Kolejowa 4";"Przemyœl";1972-5-19 00:00:00;"M";"T.LES";1994,00;"M";"T";"M";3,00;"R";"tak";"nie";"T";"T";11,00;1072,50 z³
118,00;338,00;"Mariusz";"Zawiœlak";"os.Sloneczne 4/45";"Przemyœl";1971-9-13 00:00:00;"M";"Z.S.ROL";1994,00;"M";"N";"M";3,00;"R";"tak";"nie";"T";"T";1,00;688,50 z³
119,00;69,00;"Henryk";"Œwiniarski";"Urzejowice 432";"Przemyœl";1971-3-11 00:00:00;"W";"Z.S.ROL";1994,00;"M";"T";"G";3,00;"C";"tak";"nie";"T";"T";2,00;1031,70 z³
120,00;284,00;"Ma³gorzata";"Kotowicz";"Skoropki 9";"Przemyœl";1974-1-16 00:00:00;"M";"LE";1994,00;"K";"N";"H";2,00;"I";"nie";"nie";"T";"T";11,00;426,90 z³
121,00;213,00;"Justyna";"Grabowska";"Walowa 8";"Przemyœl";1973-7-3 00:00:00;"M";"LO";1994,00;"K";"N";"H";2,00;"R";"nie";"nie";"T";"T";17,00;1150,70 z³
122,00;344,00;"Barbara";"Æwiklik";"Rozborz Dlugi 21";"Przemyœl";1973-6-24 00:00:00;"W";"T.ROL";1994,00;"K";"N";"H";2,00;"C";"nie";"nie";"T";"T";0,00;805,80 z³
123,00;257,00;"Marta";"Gucwa";"Rokietnica 660";"Przemyœl";1972-9-25 00:00:00;"W";"T.ROL";1994,00;"K";"T";"C";2,00;"R";"nie";"nie";"T";"T";7,00;1228,70 z³
124,00;386,00;"Ewa";"Myszkowska";"M.Konopnickiej 13/3";"Przemyœl";1972-12-2 00:00:00;"M";"Z.S.ROL";1994,00;"K";"T";"C";2,00;"R";"nie";"nie";"T";"T";17,00;1325,50 z³
125,00;364,00;"Agnieszka";"Habaj";"Gorzyce 198";"Przemyœl";1973-8-5 00:00:00;"W";"Z.S.ROL";1994,00;"K";"N";"C";2,00;"R";"nie";"nie";"T";"N";16,00;890,20 z³
126,00;259,00;"Anna";"¯arnowska";"Rozborz Dlugi 35";"Przemyœl";1972-11-18 00:00:00;"W";"Z.S.ROL";1994,00;"K";"T";"F";2,00;"C";"nie";"nie";"N";"T";4,00;1327,00 z³
127,00;258,00;"El¿bieta";"Rz¹ca";"Krasne 92";"Przemyœl";1975-5-20 00:00:00;"W";"Z.S.ROL";1994,00;"K";"N";"G";2,00;"C";"nie";"nie";"T";"T";16,00;1143,00 z³
