Nazwisko;  Imiê;  Miejscowoœæ;  Ulica; Nazwa_towaru; Cena; Data zakupu
 Bolkowski;  Piotr; Warszawa; Kiliñskiego 11; Zmywarka; 1450; 2012-04-09
 Bia³kowski;  Pawe³; Warszawa; Jêczmienna 2; Okap; 320; 2012-10-02
 Nowicki;  Marek; Szczecin; Krótka 7; P³yta gazowa; 550; 2012-10-12
 Kozio³;  Marek; Poznañ; Krêta 47; Czajnik elektryczny; 120; 2012-12-28
 Kwiatkowski;  Tomasz; Poznañ; S³owackiego 17; Odkurzacz; 390; 2012-11-25
 Witkowski;  Pawe³; Wroc³aw; Mohna 34; Piekarnik; 690; 2012-09-23
 Góra;  Grzegorz; Warszawa; Roja 1; Lodówka; 1200; 2012-07-11
 Nowak;  Piotr; Gdañsk; Krótka 1; Odkurzacz; 390; 2012-08-05
 Lipowski;  Adam; Warszawa; D³uga 14; Robot kuchenny; 450; 2012-04-24
 Barañski;  Marcin; Warszawa; Podmurna 8; P³yta elektryczna; 630; 2012-01-26
 Giziñski;  Konrad; Gdañsk; Szeroka 1; Lodówka; 1200; 2012-06-12
 ¯ak;  Karol; Warszawa; Szeroka 2; P³yta elektryczna; 630; 2012-03-19
 Nowicki;  Marek; Szczecin; Krótka 7; Lodówka; 1200; 2012-12-11
 Górecka;  Daria; Warszawa; W¹ska 2; Mikrofalówka; 230; 2012-09-06
 Czarnecki;  Tomasz; Warszawa; Grodzka 11; P³yta elektryczna; 630; 2012-12-15
 Zaczyk;  Justyna; Warszawa; Mickiewicza 8; Piekarnik; 690; 2012-09-12
 Witkowski;  Pawe³; Wroc³aw; Mohna 34; P³yta indukcyjna; 999; 2012-11-09
 Górski;  £ukasz; Warszawa; Reja 2; Lodówka; 1200; 2012-11-07
 Nowicka;  Beata; Poznañ; Mickiewicza 76; Odkurzacz; 390; 2012-05-23
 Adamska;  Ewelina; Poznañ; Reja 1; P³yta gazowa; 550; 2012-06-22
 Nowicka;  Beata; Poznañ; Mickiewicza 76; Mikrofalówka; 230; 2012-04-27
 Lipka;  Lech; Poznañ; W¹ska 76; P³yta elektryczna; 630; 2012-10-17
 Kozio³;  Marek; Poznañ; Krêta 47; Okap; 320; 2012-04-21
 Janowski;  Micha³; Poznañ; 3-go Maja 31; Pralka; 1100; 2012-01-19
 Wilk;  Ewa; Gdañsk; Reja 22; Robot kuchenny; 450; 2012-09-23
 Domacz;  Ewa; Warszawa; Nowaka 14; P³yta elektryczna; 630; 2012-03-15
 ¯ak;  Karol; Warszawa; Szeroka 2; Piekarnik; 690; 2012-04-05
 Bolkowski;  Piotr; Warszawa; Kiliñskiego 11; P³yta elektryczna; 630; 2012-04-09
 Górski;  £ukasz; Warszawa; Reja 2; Robot kuchenny; 450; 2012-10-02
 Górski;  £ukasz; Warszawa; Reja 2; Czajnik elektryczny; 120; 2012-10-12
 Nowicki;  Marek; Szczecin; Krótka 7; Piekarnik; 690; 2012-03-15
 Mi³ek;  Ilona; Poznañ; Nowa 3; Zmywarka; 1450; 2012-04-05
 Ogórek;  Magda; Gdañsk; Kwiatowa 8; Mikrofalówka; 230; 2012-04-09
 Artowska;  Ilona; Wroc³aw; Kiliñskiego 34; Robot kuchenny; 450; 2012-10-02
 Giziñski;  Konrad; Gdañsk; Szeroka 1; Pralka; 1100; 2012-10-12
 Leñski;  Adam; Warszawa; Krótka 32; Piekarnik; 690; 2012-10-02
